"","V1","V2"
"1",NA,0.262
"2",NA,0.487
"3",NA,0.073
"4",NA,0.088
"5",NA,0.423
"6",NA,0.475
"7",NA,0.127
"8",NA,0.483
"9",NA,0.427
"10",NA,0.377
"11",NA,0.022
"12",NA,0.612
"13",NA,0.001
"14",NA,0.252
"15",NA,0.532
"16",NA,0.311
"17",NA,0.412
"18",NA,0.358
"19",NA,0.002
"20",NA,0.126
"21",NA,0.035
"22",NA,0.412
"23",NA,0.277
"24",NA,0.23
"25",NA,0.56
"26",NA,0.449
"27",NA,0.408
"28",NA,0.451
"29",NA,0.368
"30",NA,0.338
"31",NA,0.452
"32",NA,0.578
"33",NA,0.112
"34",NA,0.147
"35",NA,0.187
"36",NA,0.096
"37",NA,0.41
"38",NA,0.371
"39",NA,0.113
"40",NA,0.119
"41",NA,0.184
"42",NA,0.097
"43",NA,0.602
"44",NA,0.359
"45",NA,0.287
"46",NA,0.368
"47",0.135,0.095
"48",0.202,0.217
"49",0.066,0.125
"50",0.184,0.498
"51",0.582,0.004
"52",0.354,0.263
"53",0.554,0
"54",0.56,0.138
"55",0.604,0.586
"56",0.002,0.306
"57",0.49,0.272
"58",0.372,0.158
"59",0.132,0.341
"60",0.208,0.396
"61",0.318,0.382
"62",0.587,0.348
"63",0.449,0.472
"64",0.526,0.187
"65",0.406,0.361
"66",0.003,0.462
"67",0.61,0.097
"68",0.423,0.504
"69",0.385,0.156
"70",0.049,0.563
"71",0.177,0.605
"72",0.369,0.371
"73",0.519,0.22
"74",0.156,0.032
"75",0.344,0.259
"76",0.494,0.256
"77",0.264,0.433
"78",0.213,0.485
"79",0.279,0.305
"80",0.072,0.297
"81",0.437,0.448
"82",0.542,0.515
"83",0.415,0.24
"84",0.449,0.123
"85",0.065,0.024
"86",0.451,0.292
"87",0.384,0.412
"88",0.129,0.553
"89",0.562,0.477
"90",0.235,0.588
"91",0.286,0.286
"92",0.116,0.402
"93",0.16,0.051
"94",0.266,0.589
"95",0.476,0.483
"96",0.537,0.499
"97",0.212,0.593
"98",0.412,0.012
"99",0.562,0.192
"100",0.282,0.43
